lval,op,rval,Estimate,Std. Err,z-value,p-value
Trap_Item2,~,Trap,0.990861658973965,0.07232270337195397,13.700561687583582,0.0
Trap_Item3,~,Trap,1.052640805478039,0.07075675721283041,14.876894404542968,0.0
Trap_Item4,~,Trap,0.9210744464662355,0.07119108811126214,12.93805827231888,0.0
Boundary_Item2,~,Boundary,1.3159463674173468,0.08329421023645392,15.798773572207072,0.0
Boundary_Item3,~,Boundary,0.9684498052784641,0.0701022195774739,13.814823711742266,0.0
Boundary_Item4,~,Boundary,1.0574229969650584,0.06974152946235983,15.162027634059813,0.0
Scaffold_Item2,~,Scaffold,0.9456367193903807,0.06623974514274053,14.27597158380282,0.0
Scaffold_Item3,~,Scaffold,0.7805397003228891,0.05696211050688412,13.702787578681003,0.0
Scaffold_Item4,~,Scaffold,0.8333896137261306,0.06226946444166029,13.383600151138966,0.0
Iterative_Item2,~,Iterative,1.0826117146432983,0.07067735801501925,15.317659644237422,0.0
Iterative_Item3,~,Iterative,1.2115331500226774,0.07369925786266734,16.438878560539013,0.0
Iterative_Item4,~,Iterative,0.8857475317876019,0.061719509493293856,14.35117581207433,0.0
Sovereignty_Item2,~,Sovereignty,0.9361361921753121,0.05337694174695115,17.538213346800546,0.0
Sovereignty_Item3,~,Sovereignty,0.8986869126281702,0.05299912031929237,16.956638283750532,0.0
Sovereignty_Item4,~,Sovereignty,1.0119468018222983,0.05770024210592949,17.537999233122264,0.0
